CDRDATE,SERVICE_KEY,DIAMETER,TOTAL
21-10-2023 15:58,300,2001.0,1
21-10-2023 15:58,300,4012.0,5
21-10-2023 15:58,300,4012.0,3
21-10-2023 15:58,300,5004.0,6
21-10-2023 15:58,300,5004.0,2
21-10-2023 17:12,100,2001.0,1477
21-10-2023 17:12,100,2001.0,513
21-10-2023 17:12,100,4010.0,6
21-10-2023 17:12,100,4010.0,3
21-10-2023 17:12,100,4012.0,700
21-10-2023 17:12,100,4012.0,241
21-10-2023 17:12,100,5031.0,11
21-10-2023 17:12,100,5031.0,32
21-10-2023 17:12,100,,36
21-10-2023 17:12,100,,18
21-10-2023 17:12,133,,5
21-10-2023 17:12,150,5030.0,1
21-10-2023 17:12,150,5030.0,2
21-10-2023 17:12,200,2001.0,3
21-10-2023 17:12,300,4012.0,14
21-10-2023 17:12,300,4012.0,15
21-10-2023 17:12,300,5004.0,1
21-10-2023 17:12,300,5004.0,2
21-10-2023 17:13,100,2001.0,1450
21-10-2023 17:13,100,2001.0,523
21-10-2023 17:13,100,4010.0,2
21-10-2023 17:13,100,4010.0,8
21-10-2023 17:13,100,4012.0,689
21-10-2023 17:13,100,4012.0,240
21-10-2023 17:13,100,5031.0,9
